SESSION NAME:	RE-CONFORM
SAMPLE RATE:	48000.000000
BIT DEPTH:	24-bit
SESSION START TIMECODE:	00:00:00:00
TIMECODE FORMAT:	24 Frame
# OF AUDIO TRACKS:	10
# OF AUDIO CLIPS:	249
# OF AUDIO FILES:	12


T R A C K  L I S T I N G
TRACK NAME:	GT DX 1
COMMENTS:	
USER DELAY:	0 Samples
STATE: 
CHANNEL 	EVENT   	CLIP NAME                     	START TIME    	END TIME      	DURATION      	TIMESTAMP         	STATE
1       	1       	stem-05	   04:00:00:00	   04:00:02:14	   00:00:02:14	       01:13:13:00	Unmuted
1       	2       	stem-09	   04:00:05:19	   04:00:08:08	   00:00:02:13	       01:15:54:09	Unmuted
1       	3       	stem-12	   04:00:08:14	   04:00:09:17	   00:00:01:03	       01:16:05:06	Unmuted
1       	4       	stem-14	   04:00:11:23	   04:00:13:20	   00:00:01:21	       00:06:25:14	Unmuted
1       	5       	stem-16	   04:00:13:20	   04:00:15:11	   00:00:01:15	       00:06:30:14	Unmuted
1       	6       	stem-18	   04:00:15:11	   04:00:18:05	   00:00:02:18	       00:06:33:06	Unmuted
1       	7       	stem-52	   04:00:26:03	   04:00:27:14	   00:00:01:11	       00:09:53:22	Unmuted
1       	8       	stem-64	   04:00:27:15	   04:00:28:18	   00:00:01:03	       00:29:48:12	Unmuted
1       	9       	stem-74	   04:00:30:04	   04:00:31:09	   00:00:01:05	       01:39:29:16	Unmuted
1       	10      	stem-76	   04:00:31:09	   04:00:32:06	   00:00:00:21	       01:39:31:14	Unmuted
1       	11      	stem-68	   04:00:34:03	   04:00:35:22	   00:00:01:19	       01:03:54:18	Unmuted
1       	12      	stem-54	   04:00:40:01	   04:00:41:22	   00:00:01:21	       00:12:32:06	Unmuted 
1       	13      	stem-56	   04:00:41:22	   04:00:43:13	   00:00:01:15	       00:12:38:05	Unmuted
1       	14      	stem-58	   04:00:44:10	   04:00:45:05	   00:00:00:19	       00:12:52:20	Unmuted
1       	15      	stem-48	   04:00:45:05	   04:00:47:11	   00:00:02:06	       00:08:06:07	Unmuted
1       	16      	stem-50	   04:00:47:11	   04:00:51:05	   00:00:03:18	       00:08:10:22	Unmuted
1       	17      	stem-60	   04:00:57:11	   04:00:58:16	   00:00:01:05	       00:16:37:07	Unmuted
1       	18      	stem-62	   04:00:58:16	   04:00:59:22	   00:00:01:06	       00:17:11:17	Unmuted
1       	19      	stem-78	   04:00:59:22	   04:01:00:15	   00:00:00:17	       01:54:42:14	Unmuted
1       	20      	stem-80	   04:01:00:15	   04:01:01:00	   00:00:00:09	       01:54:50:03	Unmuted
1       	21      	stem-72	   04:01:01:23	   04:01:04:15	   00:00:02:16	       01:18:37:18	Unmuted
1       	22      	stem-66	   04:01:05:02	   04:01:06:11	   00:00:01:09	       00:56:19:08	Unmuted
1       	23      	stem-70	   04:01:11:17	   04:01:13:03	   00:00:01:10	       01:14:23:19	Unmuted
1       	24      	stem-82	   04:01:20:16	   04:01:21:03	   00:00:00:11	       00:21:38:01	Unmuted
1       	25      	stem-88	   04:01:33:02	   04:01:35:17	   00:00:02:15	       01:45:06:12	Unmuted
1       	26      	stem-84	   04:01:38:13	   04:01:39:21	   00:00:01:08	       01:39:59:22	Unmuted
1       	27      	stem-86	   04:01:39:21	   04:01:44:13	   00:00:04:16	       01:40:02:18	Unmuted


